,Name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Age,Gender,TransactionCount,Duration,Peak Season,Before Season months,Months left for End of Season,AVG Sales,avg order cost,Loan Amount
0,Chad Smith,179018.86,177120.88,174173.55,122734.36,362590.35,365079.62,249214.28,242866.21,436012.52,262280.29,390223.58,294466.47,74,1,3273,8,0,3,7,271315,82.89489764741828,570652.374624093
1,Ronald Collins,42555.73,63249.06,40379.44,57876.43,49185.06,54559.53,51300.02,108893.08,111362.5,43984.41,60624.84,36887.95,58,1,3103,21,1,0,1,60072,19.359329680953916,212107.25547885444
2,Darryl Brown,135601.47,174790.03,133235.49,209354.95,180334.22,144941.36,158670.0,480330.37,143541.85,131941.96,227762.95,212498.75,23,1,4770,5,1,0,0,194417,40.758280922431865,756066.3714794439
3,Becky Williams,145533.08,194858.86,517763.56,587363.81,194260.81,238350.12,138048.7,176593.62,230162.27,137788.52,189368.18,160306.05,34,1,405,6,0,3,1,242533,598.8469135802469,444750.2024644289
4,Jennifer Bruce,111695.66,92337.6,104144.36,89659.33,145544.96,235337.56,276935.12,108437.74,102481.52,127726.98,120973.45,116962.33,48,0,224,11,0,3,1,136020,607.2321428571429,388170.3715948387
5,Harold Mendoza,71788.68,79418.03,60650.8,78827.83,152976.02,170670.4,61726.69,51905.37,79767.13,61932.04,57920.9,66283.36,42,1,2543,5,0,2,1,82822,32.568619740464015,171851.98074206302
6,Dorothy Hughes,93775.7,93697.29,106804.91,84094.51,81584.79,159348.89,182178.26,190129.3,180966.15,179698.69,204444.15,115371.24,42,1,2560,10,1,0,4,139341,54.430078125,217502.32485032472
7,Chloe Jackson,117460.36,115915.53,92481.17,101002.78,84516.63,124065.29,92037.04,305410.5,78816.26,133962.59,117310.68,126303.64,66,0,152,11,0,2,0,124107,816.4934210526316,264034.574254908
8,Timothy Acosta,95820.51,120621.45,126381.56,91004.23,105587.17,124087.16,99054.48,213451.34,197314.11,213395.64,234558.82,96242.92,56,1,337,21,1,0,0,143127,424.7091988130564,421526.6324705513
9,Peter Solis,46924.28,34656.63,38630.85,41552.68,40444.65,50368.3,57839.37,48701.38,44031.99,53756.4,96575.74,46398.6,54,1,3632,19,0,3,0,49990,13.763766519823788,234841.02884182765
10,Douglas Washington,118006.42,129034.33,128728.44,105995.15,123099.02,125952.73,111751.34,279647.62,208616.02,292122.26,323673.53,248729.99,35,0,1183,6,1,0,3,182946,154.6458157227388,490428.8830460053
11,Alex Thomas,478489.0,618171.46,531079.14,470943.2,476819.23,510370.09,505689.4,445147.71,390148.12,457638.0,543896.0,153220.3,78,0,3049,14,0,3,10,465134,152.5529681862906,693776.8547769019
12,Spencer Jones,211807.79,171053.94,206653.49,222191.07,128848.32,120772.85,163796.88,165983.62,198352.93,163999.14,198746.68,452884.55,39,0,1691,11,1,0,0,200424,118.52395032525133,615354.5742983773
