,Name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Age,Gender,TransactionCount, CreditScore,Loan Amount,Duration,Peak Season,Before Season months,Months left for End of Season
0,Chad Oneal,17189.13,13758.75,10337.03,16183.98,10351.74,15578.25,15181.26,17663.26,16039.27,15466.73,27547.63,15737.69,65,1,1474,508,33415.295250627445,11,0,2,0
1,Kelly Garcia,4151.86,6019.14,5094.39,5872.28,4011.05,5947.32,4749.18,6257.08,3535.56,4338.88,5651.84,10183.97,78,0,3947,616,12706.851264897403,4,0,2,0
2,Richard Lane,12096.74,13227.62,14311.36,10298.43,16251.71,10669.72,13997.65,13662.03,17093.53,19511.78,17573.18,30644.31,43,0,1020,783,39140.85902663955,4,1,0,0
3,Jonathan Kelly,20447.28,17893.85,18859.29,19082.52,21611.41,22635.01,43401.89,42757.99,27531.17,45579.41,16950.55,24693.45,60,1,633,658,51241.89324106926,12,0,2,3
4,Caroline Park,9692.31,15585.16,16750.38,10781.73,9242.04,16105.87,36515.68,31475.31,34496.89,39740.0,12472.08,9147.92,20,0,1826,805,35655.51335221974,11,0,3,3
5,Patrick Graham,10114.43,14138.26,17131.04,14692.11,10994.61,14236.6,9864.12,16193.06,11701.43,11251.8,10553.09,11892.49,25,1,3922,534,27718.735251718896,9,1,0,0
6,Dana Maldonado,4447.69,3751.38,4376.28,4631.84,5097.29,3810.01,4360.58,4481.84,10033.77,4361.25,5177.38,4951.7,18,0,3203,742,11017.418115035392,3,0,2,0
7,Paul Cunningham,11878.54,16299.86,11707.82,15860.0,27247.21,28905.61,36442.56,41531.68,38247.14,41051.97,16069.39,15581.8,55,0,4891,795,41723.750160933916,13,1,0,1
8,Amy Jacobs,5984.45,5491.5,4587.09,5008.8,6365.18,7701.68,9463.56,6373.51,6816.86,9180.71,6097.6,8201.74,79,0,513,603,12476.042945965766,5,1,0,6
9,Bryan Hawkins,8439.89,8524.52,13146.3,11204.56,10907.67,13601.95,21813.58,15227.52,18145.07,17650.88,12937.71,21633.65,63,0,2324,714,27072.152093529836,7,0,3,5
10,Theresa Bender,6075.99,5567.97,8935.74,7532.84,9919.3,8238.42,6031.97,5672.39,7237.2,5739.21,7871.41,7065.24,58,1,2605,581,8570.233334759278,10,0,2,11
11,Gail Spencer,9596.18,12163.63,13309.24,11856.16,13091.9,10688.68,12518.3,18175.32,21005.07,19785.61,13719.45,8881.3,72,1,2013,483,31767.152117255253,8,0,3,4
12,Brittany Johnson,48344.89,29421.76,46183.68,31197.22,50343.6,40261.72,37475.26,28111.66,29302.09,30448.07,16695.85,18685.45,45,1,1559,497,46465.87802749686,8,0,3,9
13,Megan Escobar,19905.79,19794.68,15510.19,20166.78,19438.16,14327.24,17944.45,14917.57,29353.08,27945.65,23168.18,38358.37,22,1,1624,607,36553.87866283344,10,1,0,2
14,Selena Wright,12636.02,15229.34,15446.67,9994.15,11764.33,14440.3,9193.72,35064.37,26705.11,26857.73,39104.88,38515.09,16,0,1597,454,27346.836910853264,10,0,3,4
15,Johnny Daniel,2753.42,3033.0,1745.23,2819.07,1719.99,2568.41,2533.63,2442.64,2498.65,1898.82,2135.41,5231.47,36,1,2820,300,6707.751466810487,3,0,3,0
16,Julia Marsh,12258.52,18059.45,15127.63,15802.33,10573.46,10561.44,16922.17,15295.58,38566.49,15762.88,11615.04,16124.31,47,1,3134,363,38496.56655336051,13,1,0,0
17,Russell Gutierrez,16643.51,11170.94,13489.98,28052.1,16374.74,15884.27,10546.12,15190.05,11401.2,9492.88,11248.99,14028.28,60,0,3370,534,36769.31529906786,9,1,0,0
18,Tiffany Jackson,14333.15,25684.65,24276.62,22840.67,23895.43,22824.33,25110.98,18758.48,18938.98,26456.32,39463.95,24118.12,33,1,4146,311,56264.41150240627,12,0,2,1
19,Sandy Pruitt,20614.04,21528.47,22754.31,16479.28,14324.56,16906.87,15413.95,18367.1,14673.84,21967.71,34122.81,23802.86,75,0,531,767,39399.913083925865,5,0,3,0
20,Donald Mccall,7295.22,7629.5,7689.94,21817.87,23996.51,12524.01,8776.71,7513.14,12094.82,12664.71,8348.04,12791.42,62,0,175,781,22481.772364844022,7,0,1,1
21,Paul Long,7571.97,5942.3,5158.38,8889.21,7078.4,6000.68,4966.54,7599.06,8430.83,4815.44,13541.67,15991.3,78,1,1935,759,20554.843761248852,6,1,0,1
22,Dwayne Sanchez,9342.88,9711.39,13035.53,14207.16,15442.14,10942.08,12732.04,13391.9,12350.74,23197.71,11986.14,13803.84,21,1,4672,593,27663.72458154142,4,0,2,0
23,William Maddox,10268.04,13204.65,11814.88,8797.41,8287.66,8752.03,13050.32,28118.04,22254.98,23508.47,31850.11,26128.19,43,1,1710,461,25130.271207849604,4,1,0,2
24,Justin Berry,9251.89,23189.92,15605.34,16274.14,20580.07,20783.92,26043.18,26066.46,7963.89,7672.65,5671.6,8783.77,75,1,4784,669,17709.512022754192,11,1,0,4
25,Judy Dixon,5685.1,3598.04,4242.07,5897.03,7540.3,10699.88,8725.36,7694.26,9237.74,10251.73,8518.43,4847.69,68,1,661,607,10692.050118538611,11,1,0,1
26,Linda Romero,9835.83,7238.09,10302.38,8556.96,5772.46,10659.05,8049.51,23494.38,20975.32,16426.11,16945.19,7601.85,73,1,294,318,20601.535390197758,5,1,0,1
27,Isaiah Cox,14775.24,10626.46,17607.91,17960.31,23552.65,28540.22,28007.56,14938.31,13983.99,12104.96,17515.36,10257.81,78,0,386,459,34260.78087788984,10,0,1,2
28,Rhonda King,7352.56,9605.03,11043.66,13570.12,11445.36,13663.03,11201.82,7867.84,11253.74,8608.63,5834.51,6155.69,80,0,3257,431,15879.104669384624,12,0,2,8
29,Johnathan Lee,2128.41,2744.45,2763.96,1715.57,2070.81,2591.24,2088.84,3755.29,4199.23,5303.07,4158.03,2780.31,53,0,4564,737,4592.349428821593,7,0,3,3
30,Veronica Reynolds,17639.59,13665.26,13607.96,15410.44,15777.44,16552.07,15388.97,15828.58,13023.27,11714.54,23888.92,16509.87,51,1,844,414,37309.969824065745,7,0,3,0
31,Lee Tucker,15187.87,15107.61,19466.89,19417.76,17422.59,13915.17,18582.73,16765.31,14055.81,49619.88,49260.6,15293.82,54,1,2595,360,44312.09708451916,14,0,3,1
32,Colleen Collins,10922.2,13282.66,12866.28,8380.27,21610.59,27232.17,9291.05,11380.15,11688.09,9717.41,10614.78,11267.53,29,1,2463,899,26672.908410761887,10,0,3,1
33,Brian James,7619.13,7068.47,9543.17,17503.55,19759.74,23394.07,17324.24,18855.17,11640.11,7249.02,6406.5,7130.17,26,1,2763,729,25643.615021033445,8,0,2,4
34,Mario Chen,18502.4,17994.23,22214.69,25238.46,20463.42,20738.32,14166.15,29730.57,39127.16,50585.45,35551.13,17810.4,80,1,1654,499,42540.21978462228,11,1,0,0
35,John Thomas,10538.04,9642.8,9406.35,11694.72,8721.25,9955.11,13234.55,11433.88,20586.39,14070.6,17880.66,10616.43,19,0,2514,652,36041.07708649017,10,1,0,2
36,Lisa Bray,17923.41,19918.26,14958.55,20195.64,14525.38,36954.25,40463.22,44096.69,17558.78,19228.9,13640.06,13580.71,61,1,3535,346,50808.7370973098,5,0,1,2
37,Larry Robinson,1943.58,2873.38,6207.59,5666.87,5461.23,5107.41,4491.12,6670.92,4890.36,2280.94,3278.96,1972.02,37,1,4002,423,6316.563274154463,6,1,0,2
38,Christie Mckenzie,20669.16,20117.01,17935.81,19922.11,11612.64,11447.97,42050.46,33242.72,16717.7,18442.01,18593.8,12427.19,71,1,896,420,44631.71716233522,13,1,0,0
39,Nicole Gray,2703.33,2815.4,2907.7,1857.5,2035.04,2779.94,2473.38,2613.37,1704.32,2707.56,4624.68,6109.89,24,0,3920,751,6442.897586508501,14,1,0,1
40,Dan Vargas,16586.31,15552.47,16103.93,12233.42,16722.3,17636.56,15654.31,26804.73,27759.67,11765.45,14171.19,17976.8,44,1,4371,813,39547.99380208951,6,1,0,1
