,Name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Age,Gender,TransactionCount,Duration,Peak Season,Before Season months,Months left for End of Season,rate,AVG Sales,Loan Amount
0,Shawn Brown,189274.84,143909.38,139503.84,137846.47,86094.66,102467.1,92599.62,69580.47,65050.76,75123.59,90380.35,62783.54,52,1,2831,19,1,0,3,36.93076651359944,104551,312862.5201508263
1,Cynthia Scott,52196.47,77386.15,61304.03,67433.84,54807.55,71401.85,61399.02,43393.76,49490.55,65935.18,50558.8,34904.64,76,0,1357,13,0,2,10,42.3861459100958,57518,69293.73810439046
2,James Alexander,123791.01,106651.19,95264.24,98639.31,137137.09,90227.58,80480.92,97093.49,157202.55,116500.82,100796.82,139992.11,23,0,4572,7,1,0,0,24.492782152230973,111981,558188.0400686823
3,Cassandra Carter,153697.22,98599.46,116915.32,167335.85,102348.27,155577.8,122790.39,163305.28,121771.04,129466.02,250667.71,290361.19,21,0,1875,9,1,0,1,83.23733333333334,156070,279847.2186214149
4,Nicole Daniels,126856.91,184807.58,130395.06,158325.05,199565.88,326395.75,308667.07,140217.53,122300.91,190210.61,190980.47,176381.57,36,0,389,8,0,1,1,483.09768637532136,187925,569712.4087626783
5,Samuel Beard,23076.05,23803.56,26223.39,75217.26,72404.22,72212.33,63075.09,77407.37,18516.88,29399.67,22879.73,20266.04,51,1,90,12,1,0,2,485.6333333333333,43707,97313.14665581597
6,John Morris,39986.8,44064.0,44606.67,47769.0,44143.99,48823.17,69853.1,49123.16,46558.59,58353.87,30860.79,47636.45,70,1,2528,18,1,0,2,18.848101265822784,47648,152227.998930988
7,Melissa Santana,165503.96,353055.5,623752.14,484538.46,411414.31,542688.59,206879.66,237464.01,205468.02,150947.68,240875.3,137552.83,37,1,1278,14,0,1,4,245.18388106416276,313345,505545.4598654414
8,Raymond Stone,155818.84,182377.77,121822.19,182488.18,113779.09,139741.39,397977.08,315244.09,106190.51,115005.63,190095.34,150313.13,47,0,1200,6,1,0,0,150.75333333333333,180904,502379.511802306
9,Nicole Dougherty,102094.9,134286.95,117745.28,137382.98,113848.15,345454.84,331883.23,332618.39,227786.5,254514.34,166706.09,139326.05,50,0,4529,5,0,2,4,44.22698167365864,200304,409526.69374348706
10,Jon Jackson,87261.48,57508.08,60408.74,80761.16,79627.75,89118.24,75459.01,69583.19,190711.94,182707.72,77666.77,62621.9,52,1,211,21,0,2,1,439.74407582938386,92786,329121.96493681864
11,Joseph Webb,46110.9,48622.01,63430.92,79209.02,88517.28,57477.17,54038.55,81003.89,73624.24,50973.4,55920.31,52043.26,79,1,4842,4,1,0,10,12.924617926476662,62581,75536.33923188297
12,Troy Smith,158532.2,175791.51,144815.66,193337.87,183092.54,177177.17,170287.85,294745.4,274945.14,313764.85,169671.14,219570.53,60,1,1520,5,0,3,2,135.73092105263157,206311,745707.2671454456
13,Janet Davis,180099.43,172578.68,170749.09,197510.31,475705.3,356947.19,337150.62,387910.62,453912.09,215371.62,157451.08,163962.66,53,1,3274,15,0,2,4,83.21502748930972,272446,786944.5840419399
